"session","session_id","study_id","created","modified","ended","expired","remind_situation","situ_nerv","situ_rela","situ_care","situ_blue","situ_irri","situ_bala","situ_soci","situ_asse","situ_subo","situ_acti","situ_pass","situ_enth","situ_symp","situ_aloo","situ_kind","situ_poli","situ_susp","situ_trus","situ_orga","situ_tidy","situ_lazy","situ_dili","situ_thou","situ_reli","situ_arti","situ_curi","situ_conv","situ_trad","typical_week","suit_nerv","suit_rela","suit_care","suit_blue","suit_irri","suit_bala","suit_soci","suit_asse","suit_subo","suit_acti","suit_pass","suit_enth","suit_symp","suit_aloo","suit_kind","suit_poli","suit_susp","suit_trus","suit_orga","suit_tidy","suit_lazy","suit_dili","suit_thou","suit_reli","suit_arti","suit_curi","suit_conv","suit_trad","traits","selected_items","unclarity","ot_unclarity"
"Xxo-Rs3766vdtXJrnabH4oOgbVABmQIDGGf4uXtY_6mOfTpl4gFIRTwIs5KAFt27","348","15","2024-07-02 00:41:33","2024-07-02 00:46:18","2024-07-02 00:46:18","","I was on the couch listening to a lecture, I was alone in my house. ","3","7","7","3","2","5","4","3","5","2","5","4","5","5","5","6","1","6","7","5","5","6","3","6","4","6","5","4","I go to the gym in the morning, I come home and work from home, and then do school. I usually make dinner with my boyfriend, go for a run or a walk at night and then read my book before bed. ","7","5","7","3","5","6","8","6","5","9","3","8","5","5","8","8","3","8","8","8","4","6","3","6","7","8","6","4","enthusiastic,relaxed,blue,subordinate,balanced,reliable,trustful,traditional,nervous,kind,lazy,aloof,curious,diligent,polite,active,carefree,suspicious,passive,sympathetic,irritable,thoughtless,organized,assertive,conventional,artistic,sociable,tidy","subordinate","4","I feel like it means submissive or just ""following along"" but I am not actually sure the definition "
"zx_W-RixB5cXgjRnnh6-bG2N4ofYRfASsatNhUhNx_R5RLlE8Y2DisjOmy27P-4V","356","15","2024-07-02 02:16:20","2024-07-02 02:21:16","2024-07-02 02:21:16","","I was working on choosing courses for the next academic year on my computer at home. No one else was around me. ","1","7","5","1","1","5","2","1","1","8","1","10","1","1","5","5","1","3","4","3","1","7","1","5","1","9","4","2","A typical week includes going to work mainly. I take the subway there and back. Usually I interact with other student workers.","10","10","10","5","10","5","10","5","4","3","8","8","10","5","7","8","1","5","10","5","10","10","10","10","5","10","10","8","tidy,sociable,kind,thoughtless,balanced,curious,relaxed,subordinate,diligent,reliable,blue,traditional,suspicious,nervous,aloof,carefree,passive,artistic,conventional,active,enthusiastic,trustful,organized,irritable,sympathetic,polite,assertive,lazy","subordinate,assertive","8, 27","N/A - test run"
"Jg3r7mGSJbh3auealkbhPdZQwZ0n0dIyl1gS5CPqFT09lQyMVmjns8264WqJbYN-","362","15","2024-07-02 04:03:45","2024-07-02 04:10:59","2024-07-02 04:10:59","","I went to a Canada Day event in White rock. I was with my brother and my mom. We just walked around and went to the pier.","4","5","5","3","3","7","5","4","3","9","3","6","5","4","7","7","2","7","7","6","4","8","4","8","6","6","8","5","i go to classes, i go to my volunteer shift at ubc which is once a week, i workout most days. I typically hang out with my boyfriend and also my family. I also interact with the people that i volunteer with and for. ","5","5","4","4","3","7","8","5","5","8","2","8","5","2","7","9","3","7","10","10","4","8","2","9","3","5","5","5","conventional,nervous,sociable,lazy,relaxed,curious,suspicious,reliable,thoughtless,active,organized,tidy,enthusiastic,irritable,subordinate,passive,balanced,sympathetic,assertive,polite,carefree,trustful,kind,blue,diligent,traditional,artistic,aloof","aloof","28","i typically do not hear this word being used often, so i had to google the meaning. "
"mDdkQSVqHt_Gkg0p7_WO5J6Vx-0xNJG61BOrQo8FEM0oJ9tiTiuWlTKqOdBytrYf","368","15","2024-07-02 05:07:45","2024-07-02 05:26:27","2024-07-02 05:26:27","","I was at home in front of my computer. I was playing game with my friends alone (online). The weather is pretty hot.","3","10","7","2","3","6","9","4","2","5","8","5","4","1","5","10","2","8","5","2","3","8","7","6","8","10","5","5","During summer, I spend a lot of time at home. I don't like going out and getting myself sweaty. I prefer chatting with my friends online. I play video games. And I read textbook chapters. On weekends, I go to work.","3","3","5","5","3","5","4","3","5","5","3","4","6","3","5","7","1","5","4","2","5","4","4","5","4","4","5","5","active,assertive,conventional,carefree,organized,subordinate,curious,reliable,tidy,artistic,balanced,kind,sympathetic,blue,irritable,nervous,trustful,sociable,traditional,thoughtless,lazy,passive,enthusiastic,polite,diligent,relaxed,suspicious,aloof","conventional,subordinate,sympathetic,diligent,aloof","3, 6, 13, 25, 28","I am unsure of the meaning or feeling."
"eOeJfdNlFVGR3OmqH988hht3CGLV0ZslQFdtfhSf2mKR8volDm2CzBYzAWME2SBq","381","15","2024-07-02 17:39:24","2024-07-02 17:46:25","2024-07-02 17:46:25","","I was in a ENT appointment to discuss an issue I've been dealing with for years just to be told what I was feeling wasn't real. So currently a little bit frustrated.","7","6","7","1","7","6","6","10","5","6","1","9","2","5","5","4","1","8","6","6","3","6","10","8","6","5","6","6","Within my week I go to the library to study for the MCAT, sleep in my room and dance 2-3 times a week. I see my boyfriend twice a week as well. ","1","3","1","1","7","6","6","10","6","6","1","6","6","1","6","9","1","6","7","6","1","8","1","10","6","6","1","6","diligent,organized,artistic,subordinate,thoughtless,relaxed,tidy,kind,irritable,carefree,passive,traditional,blue,polite,trustful,sociable,enthusiastic,lazy,nervous,conventional,aloof,sympathetic,assertive,curious,reliable,active,balanced,suspicious","diligent","1","I was unsure of the meaning but searched it up later "
"mhT0QeNMVMGoCvc7CZL4eObhHkbWhdhDQR5SrJQ7jMoBycs2CsnHkhKYNfsaJzv_","388","15","2024-07-02 19:26:22","2024-07-02 19:32:31","2024-07-02 19:32:31","","An hour ago, I was on my own, I was drinking a smoothie before my class and researching information pertaining to my upcoming travel plans. ","3","9","5","2","3","6","1","3","1","2","5","5","5","4","5","5","3","9","8","8","5","6","2","7","3","9","6","2","I work 6 days/week, usually an 8+ hour shift. I also attend classes at UBC in person on campus 2 days/week. On Sundays, I usually go for a hike or play a sport with my boyfriend and meal prep our lunches for the week. I interact with coworkers, my roommate, my boyfriend and friends. ","6","3","3","7","5","4","7","6","4","8","4","5","4","2","7","7","4","8","9","8","2","8","4","8","5","6","3","4","kind,assertive,carefree,suspicious,sociable,polite,irritable,aloof,blue,organized,subordinate,reliable,lazy,relaxed,conventional,nervous,active,traditional,enthusiastic,artistic,tidy,balanced,sympathetic,trustful,passive,thoughtless,diligent,curious","carefree,suspicious,artistic,sympathetic,passive","3, 4, 20, 23, 25","They don't seem to pertain to ways I would feel in my day to day life and interactions. "
"xwhRBGoabQx7SHW9MaOL_51K_ANj5D2v4ob7WWFN5KIcDhwZm348eGrtrnbcUM67","391","15","2024-07-02 19:31:02","2024-07-02 19:42:19","2024-07-02 19:42:19","","An hour ago I had just got out of bed for class. I had texted a friend who had asked me where I was. I left my room to go brush my teeth, but upon seeing that my roommate was in our washroom I ended up going to the individual common washrooms in the commonsblock.","2","3","5","3","4","5","3","2","1","4","8","2","5","5","4","6","3","6","4","5","2","5","6","5","1","2","6","1","In a typical week during the summer term, the places I frequent mainly consist of my domicile, lecture halls, and eateries. While some of the people I interact with are people I see in person, most of them I see online, whether through direct messaging, or through group voice channels.","2","6","9","3","3","6","8","5","3","5","5","7","4","6","6","8","4","7","6","5","8","5","3","7","2","7","4","3","tidy,thoughtless,traditional,suspicious,enthusiastic,irritable,reliable,sympathetic,carefree,sociable,assertive,artistic,active,trustful,relaxed,organized,polite,kind,blue,lazy,passive,curious,balanced,nervous,conventional,aloof,subordinate,diligent","traditional,trustful,balanced,conventional,subordinate","3, 14, 23, 25, 27","These adjectives were ones that I had either not encountered much before (trustful) or had not encountered outside of some sort of context that made gave them some more specific meaning (the others)."
"GKKfNoKOj2PnFul-NMXPga0vEIWwNVgFFf8nmo2ph30fyERMYF-RUDvyUgS6QgDB","394","15","2024-07-02 19:31:36","2024-07-02 19:37:43","2024-07-02 19:37:43","","An hour ago I was in the car driving to class. I was with my parents on the way to campus for my summer term 2 classes.","4","5","5","3","3","5","6","3","5","5","4","5","6","3","5","6","3","6","7","6","5","6","5","5","4","4","5","6","I usually interact with my friends via text or video call.","2","4","5","4","4","6","5","4","5","5","4","5","5","4","6","5","4","5","5","4","4","5","4","5","3","4","5","5","thoughtless,curious,balanced,tidy,polite,reliable,carefree,blue,irritable,relaxed,suspicious,traditional,diligent,assertive,subordinate,nervous,lazy,artistic,sociable,organized,sympathetic,enthusiastic,kind,aloof,active,conventional,trustful,passive","","",""
"ydEup-peVEyHJS8oZhJlzRGBBLCH9vOf87GiSDtgBofB0_wWFiUgzz9Ai3lg3lDn","399","15","2024-07-02 19:33:21","2024-07-02 19:33:41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CgnSuCZqMQPDmXrc6aC3WZUW10qNBYG5AEVZP2h1SMmf74H_17fUcCS17i-0Ulim","401","15","2024-07-02 19:33:27","2024-07-02 19:48:48","2024-07-02 19:48:48","","I was on the Train attempting to get to UBC. I was alone, and I had consumed a meal from Tim Hortons.","1","7","10","3","7","5","3","7","3","5","7","8","5","3","7","7","7","10","4","4","3","8","3","5","3","6","6","8","I wake up, I go to University, I try to make connections with my partner and my friends and I go to run Tabletop Role-Playing Games (Like Dungeons and Dragons).","4","8","10","1","1","7","10","10","3","10","1","10","10","7","8","10","4","10","7","7","6","10","3","10","10","10","5","4","tidy,polite,curious,organized,subordinate,irritable,aloof,sociable,carefree,sympathetic,active,passive,suspicious,conventional,enthusiastic,nervous,thoughtless,blue,trustful,kind,diligent,balanced,relaxed,assertive,traditional,artistic,reliable,lazy","blue,balanced,traditional","18, 22, 25","They seem ambiguous. Blue reminds me of the colour “blue” which in this context can mean sad but the ambiguity confuses me. “Balanced” doesn’t really apply to specific things to me, it seems more of an all encompassing term for things generally in my life. “Traditional” is confusing in itself. From whose perspective is this “traditional” what does “traditional” mean in this context. "
